,Response
2817069,0
2353892,1
8659728,0
1376699,0
8945428,0
6696823,0
938484,0
2156791,0
1989249,1
369755,0
4400754,0
6365325,0
2765339,0
5491275,0
7965907,0
8071982,0
753932,0
10744976,0
8402051,0
4481285,0
11336305,0
11210904,0
10661594,0
4337486,0
466663,0
10080546,0
3615306,0
9104475,0
8228606,0
3984357,0
9202363,0
7972864,0
914111,0
2497321,0
4837235,0
10568795,0
4838149,0
9049464,0
4481472,0
9707265,0
5976610,0
1987322,0
3691519,0
5487056,0
4327089,0
8417073,0
1635102,0
8830528,0
6555605,0
8091466,0
6610680,0
392930,0
6965575,0
10873166,0
6806559,0
7878720,1
6182440,0
8989692,1
9177164,0
5023450,0
3009326,0
6569549,0
3913009,0
328660,0
7995000,0
8865696,1
8225096,0
5479789,0
1028517,1
9991243,0
5377957,0
10793908,0
11168236,0
1611213,0
3277009,0
658322,0
2723178,0
583096,1
4962611,0
9531787,0
4520842,0
10045339,0
8557538,0
403100,0
11387289,0
4367620,0
7207059,0
7635863,1
6412601,0
3345226,0
431004,0
2298279,0
2567812,0
4276456,1
5934119,0
3759969,0
2840767,0
6451350,1
8430151,0
10195272,0
1090534,0
2884686,1
4974451,0
5117507,0
7945965,0
783448,0
10717629,0
6590936,0
11060281,0
973078,0
1445302,0
8288302,0
1705245,0
4922018,0
5248617,0
7367818,1
9937403,0
5321097,0
8370961,0
2675235,0
8183685,1
7953859,0
6235117,0
6496492,1
593952,0
5797434,0
7272877,0
10990367,0
6139386,0
1622897,1
1623711,0
4996103,0
666023,0
6846834,0
1705859,0
8142746,0
7042575,1
3562518,0
5807236,0
8499702,1
5608096,0
3225850,0
8443226,0
6172190,0
5268973,1
3849636,0
9802716,1
6138566,0
6003109,1
6441809,0
1307673,0
6316675,0
789584,0
1014585,0
11446792,0
8064904,1
2523896,0
955721,0
9439989,0
10104015,0
3074024,0
5227810,0
2769154,0
9238667,1
2072960,0
7736263,0
10768049,0
9440349,1
4281919,0
3403242,0
1433238,0
5723500,0
3946426,0
7484433,1
9012728,0
5232853,0
7467483,0
4894926,0
11144661,0
6297102,0
4733301,0
835498,0
6964057,0
5360449,0
5222961,0
10461223,0
7584765,0
8034995,0
3238080,1
11068932,0
2959321,0
407131,0
7486477,0
9225687,0
6023990,0
8102210,0
9260003,0
7730423,0
2636099,0
5469861,0
403420,0
3334100,0
5875753,0
1667803,1
1584579,0
6134397,0
1247995,0
11367644,0
8319848,0
6409902,0
9680618,0
4321021,0
6137289,1
2545655,1
5904458,0
5912269,1
5197737,0
8090520,0
8133909,0
6585903,0
1178965,0
4411454,0
749628,1
6754928,0
973210,0
5314303,0
8750670,0
8746683,0
1749370,0
7211387,0
1459486,0
8821622,0
7516637,0
10409732,0
3094212,1
7937461,0
2858315,0
5341905,0
6371362,0
6276379,0
1211000,0
4793817,0
6809641,0
9092045,0
8618602,0
8360594,1
5940214,0
1755497,0
9038888,0
3572404,0
463747,0
6471379,0
6298878,1
1634863,1
5152202,0
7077872,0
7467288,0
3949519,0
10316329,0
6487056,0
928616,0
2706169,0
1975359,1
5956965,0
8798871,0
5883604,0
1770034,0
2247094,0
11322276,0
4457138,0
9082922,0
3230125,1
6461861,0
3528845,0
5282488,0
10109396,1
9935508,0
10636601,0
1965509,0
10964027,0
4734097,0
10562471,1
747494,0
3989634,1
4874761,0
2306710,0
3614087,0
5549078,0
4320119,0
5637270,1
8036285,0
989644,0
2855499,0
3849725,0
6941352,0
9673722,0
2851316,0
4017837,0
7638061,0
8136750,1
1361197,0
10429381,0
7977055,0
4041360,0
9994080,0
2030653,0
6434978,0
10163714,0
9439205,1
9568073,1
2897449,0
6996733,0
11479386,0
7268539,0
5498859,0
8043923,0
1669771,0
3088101,0
8277009,0
3152044,0
11446600,0
9729919,0
5743088,1
9477264,0
10034490,0
1515733,0
8802835,1
8811149,0
8202918,0
10317362,0
2328458,0
9553279,0
2251927,0
11315639,0
6999057,0
11086173,0
5566774,1
5479559,0
258722,0
10736139,0
9041024,0
4842234,0
3614940,0
3193420,0
362893,0
9381828,0
6023014,0
3869336,0
3021457,0
9856796,0
8139439,1
3111153,0
8125125,0
4594178,0
3440054,0
1192915,0
9676598,0
3474110,1
1599642,0
1662262,0
809671,0
9538023,0
2742960,0
3715715,0
11317410,0
7264798,0
7154595,0
9338425,0
9366526,0
10352939,0
10979441,0
3476168,1
7413601,0
3999642,1
2607187,0
11401585,0
2761697,0
8831469,0
1515288,0
11086741,0
878590,1
9417049,0
7313580,0
173466,0
7198602,1
8675970,0
9065581,0
4071782,1
1946173,0
4796573,0
5723748,1
3611913,0
9373240,0
4975878,0
10746954,0
674669,0
8914921,0
7975006,1
4589264,0
2197156,0
3772815,0
3341332,1
991541,0
8548525,0
2348120,0
3869345,0
3856670,0
11392033,0
9540094,0
7296242,0
10434559,0
10095269,1
6201449,0
3519212,0
11275969,0
1544975,0
2474874,0
2469143,0
3073619,0
3279238,0
6255134,0
5584347,0
3661141,0
8287683,0
5980303,0
8557436,0
3493408,0
1676490,0
58787,1
7502032,0
5679615,0
4305005,0
11258629,0
9970218,1
11020865,0
9245084,0
1703611,0
9955049,0
2953488,0
1578276,0
1060465,0
10107627,0
7400567,0
10443287,0
11483132,0
8839640,0
8759561,1
7150117,1
10370718,0
8408584,0
11074562,0
5102215,0
6362060,0
4848703,0
8734935,0
9621297,1
1716927,0
10095825,0
3858183,0
7735358,0
2882598,0
9201630,0
9685495,0
865721,1
2976878,0
8139548,0
7852668,0
9702881,0
6240041,0
5986825,0
8506977,0
2375542,0
539177,0
3778130,0
5586554,0
1998701,0
4808131,0
11354417,0
11035927,0
2294877,1
10194485,0
715625,0
3048612,1
2904386,0
2349803,0
3697465,0
5803300,0
271,1
11237672,0
11108395,0
747388,0
11114180,1
6653825,0
8035194,1
7604853,0
4216346,0
10568356,0
10956093,0
1650652,0
9138081,0
1559929,0
2642772,0
2365838,0
5475079,0
7328363,1
6917224,0
1570033,0
3031968,0
4088448,0
1647208,0
4184747,0
3533201,0
7729987,0
3602415,0
1992389,0
407880,0
3368331,0
2935863,0
2704846,0
2247001,0
3494402,0
5350214,0
8198060,0
1843244,0
4033616,0
3831101,0
8316910,0
8282462,1
10139581,0
5878444,0
10296247,0
8960460,0
7101066,0
2084392,0
7903800,0
4328641,0
1377065,0
8847382,0
728622,0
9568042,0
2661822,0
3157231,0
2560702,0
10183963,0
9090634,0
3832109,0
6466366,0
8150586,0
10423110,0
9503180,1
1240255,0
2501117,0
9704614,0
10555390,0
4464959,0
11252626,0
8568828,1
308579,0
1394680,0
5263601,0
10723309,0
7659985,0
1021293,0
5223810,0
6180145,0
8896608,0
9247353,0
7402085,0
5590309,0
9957271,0
7415245,0
8557925,0
595536,0
3162711,0
11326040,0
10894457,0
8964193,0
6379790,0
6853798,0
3458371,0
2120168,1
4686740,0
7534219,0
8190345,1
8016546,0
6799519,0
10591817,0
8356352,0
7456517,0
1509378,0
8014266,1
2397233,0
2459299,0
7657562,0
3343941,0
10565317,0
5174927,0
422003,0
1796949,0
1578868,0
8994346,0
6369285,0
568911,1
7432143,0
4704193,0
6255301,0
9807675,0
8040506,0
10233146,0
104916,1
10186881,1
4832808,0
6740957,0
4693031,0
10980900,1
9326305,0
6780585,0
187368,0
3732590,0
2678803,0
4008146,0
4528340,0
4694312,0
9821048,1
5929130,0
6348568,0
10302103,0
8526992,1
8810924,0
6962285,0
8951761,0
4932190,0
6754613,0
10283922,0
5825954,0
8508870,1
6036434,0
10362734,0
1535362,0
1109060,0
1510153,0
1768438,0
4222195,0
4945514,1
6383195,0
1560266,0
9363048,0
11433034,0
392247,0
6240136,0
3951745,0
714048,0
2508637,0
801948,0
1318524,0
3309035,0
5226610,0
11034202,1
11265971,0
87087,0
588848,0
1570461,0
10444651,0
11437087,1
10271527,0
7852044,0
4337826,0
1025911,0
10326405,1
3787402,0
7254265,0
1814219,0
5379068,0
702183,0
10140456,0
4057988,0
10255725,0
45395,0
1549790,1
4445243,0
397650,0
9534728,0
132815,0
3323876,0
6038370,0
3556523,0
2043429,0
3526756,0
8623746,0
3123945,0
4862820,0
1975240,1
487031,0
8059026,0
2739748,1
1323878,0
1667468,0
10011427,0
11338027,0
8539726,0
4396818,0
10139949,0
10967881,0
8801329,0
5180402,0
7432911,0
11225327,0
2091915,0
10420782,0
10327700,0
277534,0
5545826,0
6248912,0
1862854,1
8747368,0
267604,0
8958010,1
664748,0
10973365,0
1172336,0
5970175,0
14384,0
2219071,1
7269762,0
4829861,0
10824135,1
11055718,0
4347437,0
5335618,0
5138073,0
6674600,0
6000389,0
9737594,0
3057363,0
3482675,0
9350286,0
1867141,1
3028603,0
262704,0
9067777,0
10842202,0
6251504,1
11071961,0
5018325,0
6363651,0
1188557,0
3002201,0
1144389,0
10742092,0
191115,1
6349706,0
6313688,0
5763393,0
2344819,0
10179153,0
8611015,0
4903530,0
1405154,0
17795,0
8429475,1
3424993,1
4633750,0
10359244,0
10560195,0
3621607,0
7067526,0
6510087,1
1512331,0
1245745,0
7310415,0
7137741,1
1806649,0
3118616,0
13839,0
9054716,0
8172518,0
9344183,0
10757471,0
3001856,1
11199998,0
1954368,0
6457688,0
5694315,0
2122416,0
2453609,0
3975069,0
6317779,0
5054533,0
7175805,0
4044105,0
2648061,1
5372187,0
8742144,0
916724,0
8327065,1
1154428,0
10137093,0
564486,0
244006,0
3159550,0
9809506,0
3156206,0
10298845,1
7402341,0
3125436,0
9641117,0
8154577,0
5048087,0
6131657,0
8274533,0
3267569,0
7503165,0
3643343,0
10262727,0
5266599,0
5624059,1
7302276,1
61117,0
1415053,0
8251791,0
788005,0
9545527,0
5390179,0
6953698,0
3957658,0
5951471,0
50328,0
3605119,0
1039231,1
10197939,0
657249,0
4288336,0
6233163,0
6390701,0
10203194,0
8523536,0
6646050,0
2727029,0
7292664,0
5060121,0
10331697,0
5704179,0
1100844,1
1226523,0
5991064,0
8784454,0
3204892,0
11450983,0
9892220,1
3990403,0
9433677,0
8305367,0
7915803,0
5359803,1
3235145,1
6645267,1
5106268,0
9684317,0
8851574,0
892290,1
8020141,1
494670,0
508925,0
4271028,0
5404260,0
10047284,1
5116566,0
9756339,0
5094482,0
4234443,0
9820624,0
9202280,0
2054269,0
2020247,0
4463244,0
4272581,1
2715027,0
9636370,0
725325,0
1726596,0
7168297,0
3804594,0
7765501,0
486578,0
8545592,0
8219391,0
353841,0
4221093,0
10173039,0
10560942,0
1414877,0
9562030,0
9354760,0
1227915,0
8037832,0
1195765,0
10175054,0
903305,0
7948242,0
5475085,0
10774393,0
10846310,0
5486836,1
9158831,0
8857940,0
6632486,0
3144650,0
1049754,0
317819,0
5096758,0
685478,0
4710886,0
10634893,1
6177487,0
947003,0
17637,0
2936276,0
7169495,0
4982544,0
4129366,0
7543258,0
3915437,0
2740231,0
8891465,0
8672945,0
11100231,0
7942070,1
2374438,0
1759710,0
11398840,0
5373293,0
1658381,0
4982351,0
7679373,0
582370,0
2183030,0
10916004,0
1048817,1
9455302,0
8085269,1
5088891,0
3149,0
3373702,0
9615861,0
5948,0
7853936,0
1231916,0
709910,0
1282792,0
8855800,0
5812349,1
3887704,0
10384743,0
10655617,0
9396431,0
6803695,0
7575154,0
7696797,0
7302479,0
8636492,0
7827883,0
9906417,0
8794232,0
8987497,0
2140190,1
8258272,0
1335412,0
10107463,0
5137319,0
1411964,0
9386813,0
3290530,0
9347772,0
8771770,0
2717369,0
5550999,0
3481797,0
126739,0
1920596,1
104468,0
1498228,0
9787345,0
3837703,0
10199407,0
2689974,0
4030280,0
10963752,0
8678782,0
11331126,0
7950636,0
5354622,0
2995184,0
9786464,1
8143668,1
6307502,0
7368095,0
1301854,0
117829,0
10217749,0
1308182,0
5895341,0
5782253,0
9273811,0
6404117,0
6059475,0
3801660,1
2786084,0
4637561,0
3003617,1
7716276,0
3317641,0
1722812,0
1618758,0
7974585,0
8936536,0
3422677,0
2861565,0
7906571,0
8009614,0
9879335,0
3970222,0
6069514,0
625720,0
9377798,0
5994129,1
11484625,0
6706226,1
3753996,0
7118536,0
6453930,0
5148533,0
10963826,0
5127578,0
5646514,1
1274536,0
5077008,0
1461849,1
3293929,0
5473177,1
5587142,0
2649951,0
9333639,0
10972318,0
8928709,0
4953678,0
10556673,0
1467459,0
9373072,0
1700274,0
4524382,0
7704641,0
4039910,0
221549,0
3665071,0
5703602,0
7874128,0
3055326,0
8109992,0
4158831,0
3587534,1
5877817,1
5878554,0
9148262,0
6317114,0
10823727,0
8231223,0
5512147,0
8992033,0
5430872,0
379721,0
4161830,0
3839172,0
1195735,0
6568129,0
1694061,0
6878100,0
11465254,0
9986543,1
9516223,0
8943384,0
7749784,0
6224452,0
1095286,0
5453617,0
8013118,0
5368329,0
3180195,0
4685015,0
2831022,1
7384360,0
8177478,0
8986460,0
3849853,0
10071811,0
147372,0
4135776,0
2098889,0
2790215,0
6355210,0
3090030,0
8938616,0
3009475,0
11141474,0
145975,0
9993104,0
3322327,0
19011,0
1242274,0
5425605,0
8021848,0
10143607,0
11100490,0
9149444,0
3139381,0
5925041,0
975506,0
1771389,0
1001730,0
6240718,0
3004426,1
3860075,0
609053,0
3706645,0
11125218,0
4678443,0
4760551,0
5607298,0
1795246,0
1279971,0
774907,0
963550,0
7661119,0
4734522,0
4486509,0
6264325,0
4176231,0
9782594,0
8657044,0
816760,0
6017295,0
3316839,0
8059254,0
7617715,0
783989,0
8695977,0
6964224,0
11276451,0
11176967,0
8516596,0
2083290,0
6954854,0
10276486,0
179346,0
2338595,0
8085499,1
2205888,0
2855616,0
6722297,1
9380757,0
3969470,0
7885620,0
958045,0
7470215,0
3703900,0
2672853,0
8575633,0
9891285,0
561980,0
2482331,0
6913856,0
10782459,0
3101355,0
292332,0
5003506,0
9329471,0
8867603,1
10128236,0
10778093,1
1446651,0
2211522,0
7465787,0
5943513,0
5680962,0
8171027,0
5461128,0
6810544,0
10235771,0
11166334,0
1550747,1
4109282,0
7919156,0
7116,0
1676747,0
10105829,1
10715306,0
7954752,0
3694709,0
3071472,0
2919054,0
8791027,0
2458243,0
4787771,0
10383001,0
2081392,0
5946910,0
9442623,0
112762,0
11141184,0
7202989,0
6904022,0
11416860,0
2567975,0
3878367,0
11303074,0
9605177,1
9563517,1
6958538,1
10236799,1
10892223,0
6171067,0
5333256,0
6166471,1
11060412,0
4632924,0
5228404,1
807786,0
2315561,0
6488759,0
2692933,1
1370092,0
8263678,0
5172876,0
6040036,0
3864936,0
29460,0
4987290,0
7791221,1
7720226,0
11176406,1
9257862,0
3290545,0
9494628,0
1017505,1
5357915,0
1075696,0
7749973,0
7933534,0
7215010,0
5874120,0
4869473,0
9969481,0
8928983,0
3100069,0
7950700,0
10213993,0
5178136,0
3195536,0
9358695,0
77578,0
8349195,0
3906884,0
3326438,0
5558536,0
9364890,0
8963342,0
5023724,0
832386,0
11203549,0
6603894,0
7649395,1
5498788,0
10959546,0
1994561,0
6637110,0
7087043,0
10882043,1
8397845,1
5171805,0
11377693,0
8024910,0
10288054,0
10735433,0
3784503,0
3779333,0
7508473,0
3435393,0
822957,0
10769005,0
10005574,0
4268097,1
6734314,0
323322,0
9314109,0
1566711,0
8802076,0
8633042,0
10428914,0
3775959,0
10442250,0
4304047,1
1462761,0
1419086,0
5726454,0
11263270,1
3956132,0
3159897,0
723226,0
9950963,0
6209282,0
714944,0
6117878,0
8697493,1
9663417,1
10439589,0
4329119,0
9387116,0
4006292,0
4089508,0
2661459,0
5723028,1
339853,0
4556687,0
1889996,0
4958876,0
1578303,0
4083321,1
325341,0
4571804,0
4048407,0
7162043,1
5252095,0
3256376,0
4066505,0
4114188,0
9383887,0
5358233,0
2917645,0
10742796,0
6759743,0
1003063,0
3812946,0
9545599,0
4819406,0
10596793,0
8087496,0
8749987,0
2519822,0
5115027,1
7983414,0
6810398,0
4744652,0
7893340,1
10153906,0
8331625,0
2208440,0
3324270,0
3196999,0
8203437,0
8923035,0
1044226,0
5086408,0
2670678,0
3961789,1
58192,0
8014055,0
8548469,1
80007,0
11071433,0
8356658,1
643529,0
11103171,1
9779600,0
697592,0
7035729,0
4953172,0
8600101,0
7240843,0
4439702,0
2784300,0
9732460,0
57431,0
4477120,1
3315821,0
1719201,0
5133466,0
166341,0
9867047,0
7137285,0
6140678,0
5102817,0
10770106,0
5445388,0
9217283,0
9307665,0
8718302,0
3775516,0
5379456,0
10836016,0
7045022,0
6893336,0
9374730,0
8363773,0
2729134,0
4745612,0
8020754,0
5458794,0
1161271,0
6263427,1
10447922,0
3751806,1
10583038,0
3011221,0
4928462,0
8230157,0
7640514,0
5574955,0
1173646,0
5445031,1
11209795,0
9079596,0
11381020,0
6993168,0
7185646,0
1563495,0
1568902,0
2034642,0
123743,0
5209373,0
313104,0
2440470,0
9300105,0
1340234,0
7247164,0
6962502,0
4415261,0
10142920,0
3732967,0
9071205,1
6701772,0
1810307,0
3497744,0
10677293,0
10199298,0
2789813,0
7706626,0
10810450,0
502136,0
3749187,0
1283042,0
3374175,1
5485546,0
434907,0
3963727,0
6036112,0
10038225,0
1616398,0
3237896,0
8989422,0
5842554,0
5218993,0
10513145,0
1394810,0
4713411,0
8291217,0
9976906,1
3061679,0
8143235,0
1823634,0
1710047,0
7409395,0
10156448,0
4221115,0
992644,0
11021619,0
1866248,0
9221460,0
5112225,0
693871,0
5306892,0
8612273,0
5394691,0
11419141,0
2057474,0
6689981,0
3094948,1
6262323,0
3199147,0
10826400,0
3195905,0
5515330,0
7412300,0
6987803,0
9182343,0
629905,0
5600134,0
1021192,0
11111679,0
1868498,0
7322808,0
914961,0
5242566,0
10313587,0
5523945,0
4592390,0
1999871,0
8237081,0
7524703,0
7926548,0
9299427,0
3465169,0
8448131,0
10663055,0
1649018,0
8074063,0
5483405,0
11130613,0
9582533,0
4651725,1
7421513,0
92962,0
5404441,0
5192530,0
11197493,0
596188,0
7811173,0
6387335,0
9987353,0
7428729,0
3426124,0
6205621,0
11192816,0
2300884,0
2480910,1
4173430,0
2725304,1
7167800,1
4714005,0
9321570,0
1168994,0
2060764,1
2486898,0
3202099,1
1430956,0
819408,0
9730351,0
7889764,1
9244351,0
3336788,0
9577963,0
8503435,0
4738010,0
9524804,0
7690312,1
8586100,0
5144975,0
10894269,0
9951576,0
7056435,0
7042136,0
6031233,0
5068096,0
10972260,0
7667642,1
7689787,0
5314878,0
8440510,0
7644459,0
2356052,0
1576699,0
9331994,0
6921253,0
9083084,0
11006256,0
2753353,0
378845,0
3232517,0
4051578,0
1134035,0
2675689,0
3830197,0
5783420,0
412013,0
11190060,0
9641858,1
2940929,0
2098845,0
9582653,0
5076400,1
8496633,0
10761154,0
5931258,0
11076850,0
1810223,0
11382931,0
4622294,0
4684966,0
2354089,0
2227390,0
11408547,0
10668566,0
9050682,0
787459,1
1566603,0
5060429,0
1084239,0
4867387,1
1952882,1
1813808,0
5816464,0
5353512,0
3413407,0
9994443,0
10567463,0
5436942,0
9815463,0
6002381,0
10463475,0
8926554,0
8636989,0
6630791,0
